Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
SPINT2	ENSG00000167642.12	506.212	217.021	1.218	7.51e-64
LY6D	ENSG00000167656.4	0.390	2.735	-1.426	6.94e-26
PLIN4	ENSG00000167676.4	3.360	11.934	-1.569	1.10e-66
GPT	ENSG00000167701.13	1.130	4.250	-1.301	8.82e-49
KIFC2	ENSG00000167702.11	12.260	33.251	-1.369	2.94e-17
SERPINF2	ENSG00000167711.13	7.145	16.400	-1.095	8.41e-33
GGT6	ENSG00000167741.10	2.865	7.390	-1.118	2.70e-18
KLK4	ENSG00000167749.11	1022.545	470.646	1.118	6.64e-37
ZNF83	ENSG00000167766.18	20.895	71.448	-1.726	1.39e-61
IGFBP6	ENSG00000167779.7	45.814	219.404	-2.235	1.00e-63
NUDT8	ENSG00000167799.9	42.390	10.655	1.896	5.27e-48
TMEM88	ENSG00000167874.6	6.745	15.519	-1.093	7.22e-49
TK1	ENSG00000167900.11	9.015	3.830	1.052	6.87e-41
SRRM2	ENSG00000167978.16	248.930	640.674	-1.360	1.41e-33
VWCE	ENSG00000167992.12	0.350	2.275	-1.279	1.22e-102
RAB3IL1	ENSG00000167994.11	3.520	8.055	-1.002	5.06e-44
TRANK1	ENSG00000168016.13	3.130	16.044	-2.045	2.26e-74
TTC21A	ENSG00000168026.16	2.775	9.068	-1.415	2.55e-44
LTBP3	ENSG00000168056.14	54.875	143.817	-1.374	8.33e-66
NAALADL1	ENSG00000168060.14	5.135	14.025	-1.292	2.69e-65
SCARA3	ENSG00000168077.13	9.440	25.289	-1.332	1.05e-51
SCARA5	ENSG00000168079.16	0.170	1.925	-1.322	4.45e-63
NT5DC2	ENSG00000168268.10	37.290	79.140	-1.066	2.53e-50
FAM107A	ENSG00000168309.16	10.495	60.335	-2.416	3.25e-86
MLKL	ENSG00000168404.12	2.830	8.450	-1.303	1.39e-66
SCNN1B	ENSG00000168447.10	1.760	5.665	-1.272	1.51e-32
HR	ENSG00000168453.14	1.975	7.210	-1.465	1.57e-69
RAB31	ENSG00000168461.12	7.740	16.999	-1.042	5.13e-43
TNXB	ENSG00000168477.17	7.345	20.200	-1.345	6.92e-38
PHYHIP	ENSG00000168490.13	1.670	7.605	-1.688	1.61e-82
GSTM4	ENSG00000168765.15	14.325	38.724	-1.374	1.70e-68
VAMP5	ENSG00000168899.4	29.590	67.498	-1.163	3.18e-50
INPP5D	ENSG00000168918.13	3.725	11.640	-1.420	2.60e-58
JMJD7-PLA2G4B	ENSG00000168970.20	2.685	12.864	-1.912	2.83e-64
MFSD7	ENSG00000169026.12	2.565	8.070	-1.347	4.49e-52
HNRNPH1	ENSG00000169045.17	177.539	359.524	-1.014	8.46e-35
ROR2	ENSG00000169071.14	5.085	16.429	-1.518	1.10e-56
NSMCE1	ENSG00000169189.16	142.903	68.509	1.050	2.94e-65
RP11-231C14.4	ENSG00000169203.16	10.710	65.874	-2.514	5.37e-49
RAB3B	ENSG00000169213.6	18.065	5.349	1.586	2.08e-49
RSPO1	ENSG00000169218.13	0.590	4.310	-1.740	1.62e-81
THBS3	ENSG00000169231.13	11.535	34.969	-1.521	7.07e-39
NPIPB3	ENSG00000169246.16	21.095	84.799	-1.957	1.00e-38
KCNAB1	ENSG00000169282.17	2.570	6.454	-1.062	3.62e-22
SHE	ENSG00000169291.9	1.540	5.544	-1.365	3.84e-83
NPR1	ENSG00000169418.9	1.340	3.965	-1.085	5.53e-65
ZEB2	ENSG00000169554.16	4.230	13.579	-1.479	1.15e-53
GJB1	ENSG00000169562.9	69.374	8.320	2.917	2.69e-86
HEXDC	ENSG00000169660.15	30.680	64.939	-1.058	2.20e-24
FASN	ENSG00000169710.6	481.735	159.128	1.592	1.99e-43
LDB2	ENSG00000169744.12	5.630	15.054	-1.276	1.33e-46
RAC3	ENSG00000169750.8	32.700	13.065	1.261	2.23e-71
PCDH7	ENSG00000169851.15	2.890	7.040	-1.047	9.19e-27
REPS2	ENSG00000169891.17	28.315	8.030	1.699	5.63e-64
NLGN2	ENSG00000169992.9	7.590	23.819	-1.531	8.12e-81
KCNAB3	ENSG00000170049.9	0.890	5.215	-1.717	1.22e-54
FAM153A	ENSG00000170074.19	1.440	20.609	-3.147	5.61e-96
TMEM192	ENSG00000170088.13	22.190	8.365	1.308	6.41e-26
HOXD4	ENSG00000170166.5	0.240	2.140	-1.340	3.00e-81
SLC16A5	ENSG00000170190.15	3.060	14.770	-1.958	1.06e-66
FAXDC2	ENSG00000170271.10	7.455	26.969	-1.726	3.03e-61
HSPB2	ENSG00000170276.5	1.770	6.365	-1.411	7.28e-66
FABP4	ENSG00000170323.8	0.570	2.665	-1.223	3.62e-44
TMED10	ENSG00000170348.8	222.605	86.602	1.352	7.70e-32
KRT8	ENSG00000170421.11	637.397	253.914	1.324	1.01e-73
KRT4	ENSG00000170477.12	0.760	4.375	-1.611	5.45e-29
SERPINB9	ENSG00000170542.5	1.575	4.195	-1.013	9.78e-44
SIX2	ENSG00000170577.7	0.910	3.190	-1.133	8.17e-34
STAT2	ENSG00000170581.13	36.036	78.951	-1.110	3.14e-37
RASA4B	ENSG00000170667.14	5.975	14.325	-1.136	8.27e-42
TPT1-AS1	ENSG00000170919.15	9.365	27.932	-1.481	3.46e-83
PRKCDBP	ENSG00000170955.9	9.485	34.000	-1.739	3.54e-62
LRRC8E	ENSG00000171017.10	7.015	2.670	1.127	1.79e-55
ZNF692	ENSG00000171163.15	38.479	85.543	-1.132	3.67e-18
NETO2	ENSG00000171208.9	3.865	1.085	1.222	2.86e-43
ZNF439	ENSG00000171291.8	2.360	5.975	-1.054	3.88e-44
KRT15	ENSG00000171346.13	47.965	317.959	-2.704	2.70e-25
LURAP1	ENSG00000171357.5	0.905	4.380	-1.498	6.80e-110
KRT13	ENSG00000171401.14	2.260	27.306	-3.118	4.33e-37
PDE7B	ENSG00000171408.13	1.010	3.510	-1.166	3.63e-92
MCC	ENSG00000171444.17	3.135	9.150	-1.296	5.24e-57
PLEKHG5	ENSG00000171680.20	2.475	9.555	-1.603	1.65e-97
LGALS4	ENSG00000171747.8	0.750	2.540	-1.016	6.04e-35
GATM	ENSG00000171766.15	3.385	9.985	-1.325	2.62e-60
ZNF540	ENSG00000171817.16	1.580	5.410	-1.313	4.06e-95
RRM2	ENSG00000171848.13	2.825	0.560	1.294	8.92e-34
ZNF217	ENSG00000171940.13	23.555	10.235	1.128	1.89e-21
SYNPO	ENSG00000171992.12	15.285	34.575	-1.127	2.90e-44
MAL	ENSG00000172005.10	1.120	12.320	-2.651	1.12e-110
LAMB2	ENSG00000172037.13	167.538	375.728	-1.160	1.33e-37
SLFN12	ENSG00000172123.12	0.770	2.775	-1.093	2.13e-67
MBOAT1	ENSG00000172197.10	2.985	7.750	-1.135	3.63e-39
ID4	ENSG00000172201.10	7.045	21.900	-1.509	1.12e-39
TPSAB1	ENSG00000172236.16	22.055	50.920	-1.171	1.02e-18
STARD5	ENSG00000172345.13	6.050	14.030	-1.092	7.38e-71
RCAN2	ENSG00000172348.14	6.315	14.408	-1.075	4.79e-40
SYNPO2	ENSG00000172403.10	33.095	93.412	-1.469	1.10e-31
GTPBP2	ENSG00000172432.18	15.895	42.009	-1.348	1.24e-73
RAB40A	ENSG00000172476.3	0.645	2.505	-1.091	1.91e-53
SLFN11	ENSG00000172716.16	2.650	8.725	-1.414	1.10e-50
MUS81	ENSG00000172732.11	24.305	55.048	-1.147	6.58e-59
ZNF596	ENSG00000172748.12	2.210	5.625	-1.045	1.42e-57
NAA16	ENSG00000172766.18	4.410	10.810	-1.126	4.62e-67
RARG	ENSG00000172819.16	7.485	24.390	-1.581	4.01e-77
NADSYN1	ENSG00000172890.11	30.480	68.559	-1.144	1.99e-49
MRGPRF	ENSG00000172935.8	12.615	39.545	-1.574	1.14e-48
LCLAT1	ENSG00000172954.13	9.995	3.670	1.235	1.80e-57
EVC2	ENSG00000173040.12	0.940	2.960	-1.029	5.58e-80
SNCG	ENSG00000173267.13	14.684	49.942	-1.700	1.05e-51
FAM86B3P	ENSG00000173295.7	1.070	4.245	-1.341	1.18e-85
STOX2	ENSG00000173320.9	0.425	1.895	-1.023	1.62e-95
TRIB1	ENSG00000173334.3	62.699	10.840	2.428	4.30e-66
INSM1	ENSG00000173404.4	1.480	0.100	1.173	1.42e-35
PPP1R14B	ENSG00000173457.10	99.718	46.931	1.071	4.32e-57
PEAK1	ENSG00000173517.10	2.235	6.515	-1.216	4.66e-50
TNFRSF10D	ENSG00000173530.5	1.040	3.350	-1.092	5.25e-65
MST1	ENSG00000173531.15	8.350	22.868	-1.352	2.54e-22
LRFN4	ENSG00000173621.8	3.215	7.999	-1.094	1.45e-37
SLC19A1	ENSG00000173638.18	18.765	7.680	1.187	2.53e-71
HSPB7	ENSG00000173641.17	7.850	24.759	-1.541	2.11e-36
PLK3	ENSG00000173846.12	3.805	10.860	-1.303	5.73e-44
GPR160	ENSG00000173890.16	56.349	11.005	2.256	1.06e-89
SPTBN2	ENSG00000173898.11	70.825	25.773	1.424	1.96e-87
HOXB2	ENSG00000173917.10	2.635	11.890	-1.826	4.91e-89
TCAP	ENSG00000173991.5	0.545	2.860	-1.321	2.39e-10
FAM3C2	ENSG00000174028.6	10.750	3.795	1.293	1.55e-13
MSRB3	ENSG00000174099.10	13.225	32.616	-1.241	8.13e-37
RP11-23P13.6	ENSG00000174171.5	0.240	2.585	-1.532	3.70e-71
PHLDA3	ENSG00000174307.6	21.690	56.320	-1.337	8.88e-64
GLIS1	ENSG00000174332.5	1.130	6.690	-1.852	5.98e-89
PODN	ENSG00000174348.13	13.575	45.450	-1.672	1.49e-47
GTF2IRD2B	ENSG00000174428.16	16.505	36.036	-1.081	6.48e-68
KLK15	ENSG00000174562.13	4.195	1.040	1.349	4.07e-43
SLCO2A1	ENSG00000174640.12	15.125	34.476	-1.138	7.54e-39
ZNF266	ENSG00000174652.17	14.655	34.910	-1.198	2.44e-43
SH3PXD2B	ENSG00000174705.11	3.655	10.895	-1.354	6.73e-81
RIN1	ENSG00000174791.10	2.410	9.190	-1.579	1.15e-84
SEZ6L2	ENSG00000174938.14	52.034	12.280	1.998	7.59e-68
UBE2C	ENSG00000175063.16	4.980	1.205	1.439	2.30e-38
MARCKSL1	ENSG00000175130.6	314.234	70.795	2.134	1.02e-132
PPM1E	ENSG00000175175.5	2.390	0.680	1.013	5.36e-28
NPPA	ENSG00000175206.10	0.130	1.660	-1.235	1.44e-72
GOLGA8A	ENSG00000175265.17	7.020	81.795	-3.368	1.42e-50
PHYHD1	ENSG00000175287.18	25.671	54.634	-1.061	5.28e-15
PHYKPL	ENSG00000175309.14	25.535	61.778	-1.242	9.55e-49
KCNE3	ENSG00000175538.10	1.505	4.945	-1.247	3.68e-38
NR2F1	ENSG00000175745.11	17.565	46.261	-1.348	4.14e-37
PRIMA1	ENSG00000175785.12	1.190	9.719	-2.291	1.31e-110
ZNF169	ENSG00000175787.16	1.240	3.740	-1.081	1.25e-54
ETV4	ENSG00000175832.12	0.940	3.220	-1.121	4.73e-11
LRRN1	ENSG00000175928.5	7.285	3.015	1.045	3.33e-13
GPX2	ENSG00000176153.11	2.115	18.559	-2.651	1.46e-60
LPCAT4	ENSG00000176454.13	8.365	26.034	-1.529	7.17e-87
SLCO3A1	ENSG00000176463.13	3.025	8.975	-1.309	7.74e-67
RNF152	ENSG00000176641.10	1.520	4.370	-1.092	3.86e-54
MUC20	ENSG00000176945.16	9.375	22.465	-1.177	3.21e-25
SCN4B	ENSG00000177098.8	1.315	4.365	-1.213	1.28e-69
NUDT4P1	ENSG00000177144.6	16.135	4.610	1.611	1.87e-12
ULK1	ENSG00000177169.9	18.115	37.415	-1.007	1.50e-41
HIC1	ENSG00000177374.12	2.740	10.444	-1.613	5.51e-63
PTRF	ENSG00000177469.12	79.748	169.253	-1.076	1.12e-37
RPRM	ENSG00000177519.3	2.260	7.850	-1.441	9.89e-59
PIDD1	ENSG00000177595.17	9.095	21.400	-1.150	3.51e-35
SRRM3	ENSG00000177679.15	1.140	4.410	-1.338	6.36e-79
NAALADL2	ENSG00000177694.14	9.420	2.625	1.523	1.34e-38
PVRL3	ENSG00000177707.10	10.180	3.490	1.316	2.21e-23
UBE2N	ENSG00000177889.9	101.584	50.165	1.004	1.63e-30
MAMDC4	ENSG00000177943.13	2.890	12.015	-1.742	1.19e-36
RNF212	ENSG00000178222.12	2.140	5.290	-1.002	8.57e-22
ZNF354B	ENSG00000178338.10	5.050	14.085	-1.318	8.01e-49
GPR35	ENSG00000178623.11	0.985	3.305	-1.117	9.65e-41
STX19	ENSG00000178750.2	9.795	2.340	1.692	4.46e-85
TRIM73	ENSG00000178809.11	1.650	5.560	-1.308	1.24e-33
LGALS7B	ENSG00000178934.4	0.590	2.645	-1.197	1.44e-42
PER1	ENSG00000179094.13	34.924	121.688	-1.772	1.08e-48
FUCA1	ENSG00000179163.11	59.676	26.684	1.132	4.39e-37
TMEM125	ENSG00000179178.10	45.295	21.699	1.028	1.21e-38
MAGED1	ENSG00000179222.17	190.664	78.291	1.273	1.01e-70
FAM156B	ENSG00000179304.16	7.750	25.100	-1.577	4.21e-63
HMGN2P46	ENSG00000179362.14	104.571	40.237	1.356	2.73e-17
PACS2	ENSG00000179364.13	24.910	52.205	-1.038	8.51e-56
LINC00174	ENSG00000179406.6	2.115	6.820	-1.328	9.97e-47
ZBTB42	ENSG00000179627.9	15.610	7.050	1.045	2.21e-54
ZNF154	ENSG00000179909.15	0.520	2.770	-1.310	1.42e-118
TMEM86B	ENSG00000180089.5	2.000	6.905	-1.398	5.84e-64
LYNX1	ENSG00000180155.18	5.850	19.404	-1.575	1.96e-80
HERC2P3	ENSG00000180229.12	4.210	17.629	-1.838	6.58e-45
GAS1	ENSG00000180447.6	3.795	15.835	-1.812	8.47e-60
HIST1H2BC	ENSG00000180596.7	29.130	10.763	1.357	2.51e-27
OR51E1	ENSG00000180785.8	16.374	2.320	2.388	2.36e-24
LSMEM1	ENSG00000181016.9	0.660	2.865	-1.219	1.52e-51
MAPK15	ENSG00000181085.14	1.070	4.794	-1.485	2.66e-30
NPM1	ENSG00000181163.13	1218.465	601.740	1.017	1.64e-45
PENK	ENSG00000181195.10	1.730	8.750	-1.836	3.70e-36
HIST3H2A	ENSG00000181218.5	51.739	10.705	2.172	7.65e-95
TMEM132C	ENSG00000181234.9	0.260	1.680	-1.089	6.35e-73
SLX1B	ENSG00000181625.17	2.010	7.225	-1.450	1.93e-53
SLC2A4	ENSG00000181856.14	2.575	8.920	-1.472	9.72e-49
TMEM259	ENSG00000182087.12	88.861	191.725	-1.101	1.66e-55
TMEM30B	ENSG00000182107.6	31.000	12.055	1.293	3.22e-37
RP11-69E11.4	ENSG00000182109.7	5.395	22.945	-1.905	3.87e-33
RGMA	ENSG00000182175.13	3.000	8.945	-1.314	1.07e-62
UBA7	ENSG00000182179.10	18.120	78.300	-2.052	2.55e-66
FAM153B	ENSG00000182230.11	2.115	22.145	-2.893	8.64e-82
SYNM	ENSG00000182253.14	40.414	120.780	-1.556	1.12e-32
GABRG3	ENSG00000182256.12	5.375	2.005	1.085	3.37e-16
SPACA6P	ENSG00000182310.12	6.375	28.022	-1.976	1.21e-77
NXPH4	ENSG00000182379.9	7.990	3.270	1.074	2.96e-15
WASH6P	ENSG00000182484.14	24.445	60.049	-1.263	6.98e-58
FES	ENSG00000182511.11	7.110	22.885	-1.558	3.47e-77
LINC01006	ENSG00000182648.11	20.386	9.604	1.012	4.93e-40
TMEM198B	ENSG00000182796.12	15.700	41.700	-1.354	1.50e-52
RRP7BP	ENSG00000182841.12	10.545	25.948	-1.223	1.52e-31
RP11-181G12.2	ENSG00000182873.5	1.430	5.010	-1.306	1.73e-59
TCEAL7	ENSG00000182916.7	2.720	7.160	-1.133	9.69e-49
GJC1	ENSG00000182963.9	2.155	6.400	-1.230	1.06e-58
MTA1	ENSG00000182979.17	39.151	95.729	-1.269	6.54e-45
ZNF662	ENSG00000182983.14	2.655	9.045	-1.458	2.77e-47
PYCR1	ENSG00000183010.16	151.701	30.549	2.275	1.23e-117
SPNS2	ENSG00000183018.8	3.050	9.074	-1.315	4.00e-53
PCP4	ENSG00000183036.10	72.985	249.915	-1.762	2.44e-30
SLC25A10	ENSG00000183048.11	51.049	22.080	1.173	1.01e-84
LYSMD4	ENSG00000183060.15	3.130	7.940	-1.114	7.99e-70
GAS6	ENSG00000183087.14	43.484	129.808	-1.556	5.62e-73
PRR36	ENSG00000183248.11	9.305	2.345	1.623	4.01e-98
PLGLB1	ENSG00000183281.14	1.480	4.555	-1.163	1.36e-41
EPHA10	ENSG00000183317.16	2.570	0.665	1.100	1.06e-61
OVCH2	ENSG00000183378.11	0.050	1.165	-1.044	1.99e-79
NPIPA1	ENSG00000183426.15	37.250	139.637	-1.878	8.33e-56
RP11-958N24.1	ENSG00000183458.13	4.060	13.680	-1.537	2.89e-37
PI4KAP2	ENSG00000183506.16	4.780	17.399	-1.671	4.23e-61
FBXL7	ENSG00000183580.9	4.855	11.635	-1.110	5.53e-73
UPP1	ENSG00000183696.13	6.005	14.334	-1.130	9.74e-43
NPIPA5	ENSG00000183793.13	8.130	20.655	-1.246	2.59e-25
FAM162B	ENSG00000183807.7	1.190	4.685	-1.376	2.62e-81
MAATS1	ENSG00000183833.16	2.150	6.509	-1.253	2.89e-52
FAM3B	ENSG00000183844.16	126.197	39.923	1.636	2.65e-12
KIRREL	ENSG00000183853.17	3.385	8.615	-1.133	1.26e-42
NPIPA5	ENSG00000183889.12	63.374	197.744	-1.626	1.94e-48
SMTN	ENSG00000183963.18	77.891	291.034	-1.888	2.68e-62
TMPRSS2	ENSG00000184012.11	542.488	251.331	1.107	5.71e-25
FAM132A	ENSG00000184163.3	0.650	2.475	-1.075	4.11e-39
GPR173	ENSG00000184194.5	0.385	3.320	-1.641	1.03e-93
TSPYL2	ENSG00000184205.14	23.580	158.034	-2.694	7.23e-118
GOLGA6L4	ENSG00000184206.11	1.145	5.290	-1.552	9.54e-63
POU6F1	ENSG00000184271.15	6.680	16.965	-1.226	3.67e-56
TACSTD2	ENSG00000184292.6	254.090	111.906	1.176	3.88e-40
MROH7	ENSG00000184313.19	0.425	6.185	-2.334	9.95e-108
SRPK3	ENSG00000184343.10	1.730	4.885	-1.108	1.10e-29
SLIT3	ENSG00000184347.14	2.460	6.335	-1.084	1.88e-37
PLA2G6	ENSG00000184381.18	18.371	54.336	-1.514	7.68e-45
PABPC1L2B	ENSG00000184388.5	6.955	2.560	1.160	3.86e-16
KNTC1	ENSG00000184445.11	3.250	8.485	-1.158	2.91e-39
WDR27	ENSG00000184465.15	8.035	33.527	-1.934	9.60e-51
TMEM255B	ENSG00000184497.12	2.455	12.135	-1.927	1.16e-75
TMEM173	ENSG00000184584.12	19.745	50.198	-1.303	9.53e-52
SMIM10	ENSG00000184785.5	3.600	10.620	-1.337	1.31e-66
TCTE3	ENSG00000184786.5	1.390	4.340	-1.160	5.65e-44
TMED9	ENSG00000184840.11	263.470	126.110	1.057	1.40e-64
RBM33	ENSG00000184863.10	7.290	16.613	-1.087	4.91e-47
TCEAL2	ENSG00000184905.8	8.725	33.814	-1.840	2.14e-53
JAG2	ENSG00000184916.8	10.510	23.632	-1.098	4.63e-39
PTRHD1	ENSG00000184924.5	66.251	24.849	1.379	6.94e-105
SORCS2	ENSG00000184985.16	0.920	3.330	-1.173	8.63e-61
FLRT2	ENSG00000185070.10	1.640	6.640	-1.533	1.01e-57
MANEAL	ENSG00000185090.14	13.090	3.930	1.515	1.47e-77
NRBP2	ENSG00000185189.15	16.160	60.966	-1.852	1.68e-50
IFITM2	ENSG00000185201.16	132.545	282.674	-1.087	7.88e-37
TNFAIP2	ENSG00000185215.8	26.030	67.704	-1.346	9.01e-23
SFTPA2	ENSG00000185303.15	21.265	4.870	1.923	1.81e-31
SP140L	ENSG00000185404.16	3.460	10.375	-1.351	1.40e-65
FAM174B	ENSG00000185442.12	74.583	28.624	1.351	7.64e-79
SDHAP1	ENSG00000185485.14	10.860	33.688	-1.548	8.04e-49
L3MBTL1	ENSG00000185513.14	3.200	13.330	-1.771	1.21e-59
OLFML2A	ENSG00000185585.19	2.430	6.180	-1.066	2.60e-37
FAM212A	ENSG00000185614.4	1.605	5.545	-1.329	3.63e-59
P4HB	ENSG00000185624.14	1319.658	565.349	1.221	1.13e-88
NDUFA4L2	ENSG00000185633.10	5.920	17.130	-1.390	9.81e-36
ZFP36L1	ENSG00000185650.9	78.639	171.854	-1.118	5.72e-40
NTF3	ENSG00000185652.11	1.060	3.455	-1.113	1.06e-74
EP400NL	ENSG00000185684.12	3.725	10.880	-1.330	1.84e-53
NPIPB4	ENSG00000185864.16	11.990	46.944	-1.884	2.37e-37
RNPC3	ENSG00000185946.15	5.490	19.045	-1.627	4.91e-60
TMLHE	ENSG00000185973.10	1.710	5.850	-1.338	9.02e-78
KRT5	ENSG00000186081.11	56.500	199.134	-1.799	4.13e-19
SAPCD2	ENSG00000186193.8	10.745	3.235	1.472	6.21e-78
MAR1	ENSG00000186205.12	86.258	23.414	1.838	8.52e-94
SOWAHB	ENSG00000186212.3	2.300	0.550	1.090	5.78e-45
MST1P2	ENSG00000186301.8	0.615	2.250	-1.009	1.86e-35
GLDN	ENSG00000186417.13	0.165	1.535	-1.122	1.31e-109
KLK12	ENSG00000186474.15	3.830	0.870	1.369	1.32e-18
MIR22HG	ENSG00000186594.12	8.890	22.145	-1.227	1.78e-38
PDE2A	ENSG00000186642.15	3.090	16.960	-2.135	1.10e-96
MST1L	ENSG00000186715.10	0.620	3.785	-1.563	4.24e-63
TPCN1	ENSG00000186815.12	10.940	34.905	-1.588	1.72e-82
KRT16	ENSG00000186832.8	0.795	3.115	-1.197	7.36e-29
KRT14	ENSG00000186847.5	14.490	34.534	-1.198	9.08e-9
SERPINA11	ENSG00000186910.3	1.735	0.125	1.282	2.96e-26
KANK3	ENSG00000186994.11	2.310	6.225	-1.126	8.08e-60
TMEM262	ENSG00000187066.8	0.500	2.160	-1.075	3.78e-66
ENTPD5	ENSG00000187097.12	87.501	20.547	2.038	3.08e-53
SLIT1	ENSG00000187122.16	1.810	0.240	1.180	2.55e-39
GCNT1	ENSG00000187210.12	16.540	2.460	2.342	5.45e-60
MAGED4B	ENSG00000187243.16	9.950	23.150	-1.141	5.67e-13
WDR86	ENSG00000187260.15	1.300	6.915	-1.783	4.76e-70
EPOR	ENSG00000187266.13	3.160	8.250	-1.153	3.17e-48
LUZP2	ENSG00000187398.11	8.065	0.820	2.316	1.38e-57
KCNJ11	ENSG00000187486.5	6.785	2.530	1.141	3.46e-51
GJA4	ENSG00000187513.8	4.225	11.318	-1.237	9.65e-45
EXD3	ENSG00000187609.15	12.640	26.990	-1.037	1.84e-27
SAMD11	ENSG00000187634.10	4.530	16.090	-1.628	6.17e-50
PEAR1	ENSG00000187800.13	1.275	6.675	-1.754	4.60e-82
P2RX2	ENSG00000187848.12	0.950	7.625	-2.145	2.50e-81
PALM3	ENSG00000187867.8	0.665	3.193	-1.332	4.57e-53
LCN10	ENSG00000187922.13	0.765	7.745	-2.309	7.57e-78
LDLRAD2	ENSG00000187942.11	1.840	5.629	-1.223	1.63e-34
KLHL17	ENSG00000187961.13	4.335	12.787	-1.370	4.51e-30
NWD1	ENSG00000188039.13	10.175	3.755	1.233	6.04e-35
NHS	ENSG00000188158.14	0.590	2.950	-1.313	2.03e-104
SMTNL2	ENSG00000188176.11	0.350	1.760	-1.032	1.79e-47
LINC00265	ENSG00000188185.11	1.690	6.060	-1.392	1.16e-60
HNRNPU-AS1	ENSG00000188206.6	3.630	22.575	-2.348	1.47e-61
TUBB4B	ENSG00000188229.5	342.972	160.362	1.092	6.61e-67
PLA2G2A	ENSG00000188257.10	714.256	254.910	1.483	4.85e-13
SBK1	ENSG00000188322.4	5.420	1.485	1.369	6.43e-95
FAM92A1	ENSG00000188343.12	5.210	16.195	-1.469	8.75e-96
ZP3	ENSG00000188372.14	14.065	3.885	1.625	1.53e-51
IER5L	ENSG00000188483.7	2.570	6.245	-1.021	1.08e-24
SERPINA5	ENSG00000188488.13	0.575	3.905	-1.639	1.09e-66
HBA2	ENSG00000188536.12	12.715	63.414	-2.232	4.59e-49
NPIPP1	ENSG00000188599.17	9.925	37.869	-1.831	5.92e-76
S100A16	ENSG00000188643.10	23.095	69.434	-1.548	3.08e-61
ZDHHC9	ENSG00000188706.12	34.475	13.640	1.277	3.33e-43
PRELP	ENSG00000188783.5	20.579	54.689	-1.368	1.38e-36
FBF1	ENSG00000188878.16	4.330	12.065	-1.294	4.17e-69
PLAC9	ENSG00000189129.13	3.795	19.985	-2.130	2.38e-61
UBE2Q2P1	ENSG00000189136.8	1.295	5.620	-1.528	2.90e-69
HN1	ENSG00000189159.15	72.273	33.160	1.101	1.59e-58
ZNF600	ENSG00000189190.8	3.060	7.620	-1.086	3.53e-63
GJB5	ENSG00000189280.3	0.970	4.075	-1.365	3.61e-41
FAM150B	ENSG00000189292.15	0.460	2.110	-1.091	1.39e-57
S100A14	ENSG00000189334.8	3.515	13.500	-1.683	7.37e-37
MMP23B	ENSG00000189409.12	2.945	12.393	-1.763	2.86e-58
KIAA0895L	ENSG00000196123.12	7.845	30.685	-1.841	3.19e-45
S100A4	ENSG00000196154.11	54.734	160.124	-1.532	7.00e-38
TMEM63A	ENSG00000196187.11	31.339	72.328	-1.181	5.16e-34
MYO18A	ENSG00000196535.14	15.030	33.649	-1.112	7.09e-60
LAMA2	ENSG00000196569.11	2.095	6.295	-1.237	2.50e-40
MYO6	ENSG00000196586.13	44.270	14.550	1.542	3.47e-35
SDHAF3	ENSG00000196636.7	25.375	10.644	1.180	3.15e-52
LINC00173	ENSG00000196668.3	0.755	2.945	-1.169	1.07e-26
PDXDC2P	ENSG00000196696.12	7.250	26.415	-1.732	4.92e-40
ZNF700	ENSG00000196757.7	5.135	11.690	-1.049	3.18e-44
LAMB3	ENSG00000196878.12	10.610	28.419	-1.341	1.33e-19
PDLIM7	ENSG00000196923.13	62.391	310.037	-2.295	1.05e-86
FLNA	ENSG00000196924.14	506.159	1965.457	-1.955	8.42e-57
SMIM10L2B	ENSG00000196972.7	1.080	3.505	-1.115	8.37e-51
ZNF300P1	ENSG00000197083.11	0.665	3.735	-1.508	2.86e-89
SLC25A29	ENSG00000197119.12	31.635	65.104	-1.018	5.66e-21
RP11-452G18.2	ENSG00000197149.5	9.345	3.495	1.203	1.21e-37
SND1	ENSG00000197157.10	166.340	68.365	1.271	6.08e-105
NEK5	ENSG00000197168.11	2.350	0.585	1.080	3.53e-52
HIST1H4J	ENSG00000197238.4	30.025	8.785	1.665	1.10e-44
TPSB2	ENSG00000197253.13	19.590	41.550	-1.047	6.30e-13
KANK2	ENSG00000197256.10	44.635	122.360	-1.435	2.75e-54
SYNGAP1	ENSG00000197283.12	2.970	11.179	-1.617	1.02e-79
SVIL	ENSG00000197321.14	24.225	56.555	-1.190	5.42e-36
ZNF655	ENSG00000197343.10	10.950	41.844	-1.842	9.54e-60
FBXL22	ENSG00000197361.6	3.045	9.035	-1.311	2.23e-61
MIB2	ENSG00000197530.12	19.195	70.768	-1.829	1.34e-65
OR51C1P	ENSG00000197674.5	1.400	0.170	1.036	2.16e-17
HOXC6	ENSG00000197757.7	7.005	0.615	2.309	1.76e-71
KLHDC1	ENSG00000197776.7	1.490	4.015	-1.010	5.06e-89
OCLN	ENSG00000197822.10	12.730	4.390	1.349	4.63e-39
HIST1H2BK	ENSG00000197903.7	226.567	72.887	1.623	1.59e-57
SPG7	ENSG00000197912.13	36.106	76.124	-1.056	1.11e-57
FCHSD1	ENSG00000197948.10	5.045	21.860	-1.919	1.72e-72
